	151_Le	173_Le	279_Le	294_Ob	295_Ob	75_Ob	138_Ob	65_Ob	283_Ob	96_IR	132_IR	95_IR	126_IR
LOC101927492|NR_110227	0	5.154846146	0	0	2.23871611	2.287572694	5.848361439	0	1.492911785	1.98469567	3.449136118	0	0
NCK1-AS1|NR_110177+NR_110176+NR_110175	10.14345318	4.283305148	13.70538453	13.92671607	4.650528826	13.30565478	3.239710873	6.487959446	9.303764679	10.7194027	11.46393283	7.367521672	10.55360949
DARS-AS1|NR_110200+NR_110199	1.909133373	1.007719051	1.842526021	4.032606125	1.750583283	3.577574217	6.097568586	0	1.809453983	3.103899639	4.045622402	3.961902816	3.813373515
SNHG21|NR_110099+NR_110098+NR_110097+NR_110096+NR_110100	17.84879067	16.48731913	10.76629249	11.84695415	7.160335324	25.08549021	0	16.054389	21.14619033	21.76413748	7.446437768	18.52022888	24.87122772
LOC101929596|NR_110259	13.90692381	8.258226636	3.355432021	10.55670713	0.796998677	8.958311607	7.634211916	6.949337493	5.846358021	3.53282807	2.455833422	2.705639314	9.043286377
DGUOK-AS1|NR_104030+NR_104029	2.037091011	2.150520701	0	1.075721818	0	1.908678666	3.253125825	1.628706176	2.491277223	4.967902827	1.438925316	2.113722574	6.055605562
TMEM8A|NM_021259	1.076493282	3.835467404	3.376541139	2.700190955	2.097571463	1.765109936	2.148878031	3.012393342	2.303886063	1.750180033	2.661381843	1.396236189	3.600070397
S100A11|NM_005620	892.8116321	926.7874396	1774.481247	1130.116285	2079.318561	1176.420726	1715.424009	1323.027507	1255.955896	1159.352843	1805.364182	1656.859422	1347.94555
NDUFS3|NM_004551	120.7954356	132.9712307	92.66697186	112.3107759	99.40322371	123.8217732	93.15443566	83.37164047	96.90689345	75.53505977	110.1208186	96.41502653	122.7642177
C6orf62|NM_030939	169.7752642	152.4131722	136.6131855	143.5362301	149.1062978	154.1910815	148.3890518	226.0013102	141.6490645	164.8374712	102.1338521	112.6354814	132.9480676
VMP1|NM_030938	42.99535956	42.28384242	45.86323022	53.5347209	63.28697404	69.96878155	50.23116068	80.33101699	60.1920134	60.70484149	42.83813938	66.68434312	63.56922834
TMEM194A|NM_015257+NM_001130963	0.546821893	2.116657158	2.110975758	2.502577479	1.086386859	3.446630902	2.765277205	2.941065531	1.616122479	2.51892343	2.188776323	0.945653854	1.89644316
CCDC22|NM_014008	11.48195079	12.82059621	7.671710374	13.99210734	5.669136009	10.75816171	8.462798651	11.2985997	8.641197689	5.743858349	16.84472457	11.45565419	7.220248908
CLDN11|NM_005602+NM_001185056	0.421032184	0.666714267	0.406342881	0.667000399	0	1.972457643	2.689463873	1.346503841	0.7786715	0.342260437	0.89220442	1.479069759	0.794510284
TEX2|NM_001288732+NM_018469+NM_001288733	13.69495296	7.737826504	13.81962978	7.537432926	11.7617068	14.90729775	12.7832335	13.67468446	17.92781712	20.53201997	10.49109314	11.55612237	14.92777502
HCG4B|NR_001317	0.374967553	0.395846568	0.361885389	0.198008226	0.343827173	1.053992039	1.497008018	0.599592229	0.114642414	2.133698905	0.529726264	0.389073133	1.114655943
LOC102467146|NR_104663	4.700230222	8.269915562	0	0.827346474	0.718314094	0	1.251002879	2.505302561	0.958030874	1.273618273	3.320067795	0	1.164353978
ITGB7|NR_104181+NM_000889	2.40230346	2.536068979	2.980915716	0.740133313	1.258740847	1.929316436	2.192200371	0.274386119	0.629553599	4.557449317	2.18172575	2.90862679	2.083231828
